model_name,battery_power,battery_capacity,wind_turbines,wind_capacity,solar_panels,solar_capacity,total_demand_capacity,excess_capacity,shortcoming_capacity,demand_met_by_renewables_capacity
P10_C10_T0_S8000,10,10,0,0.0,8000,32.0,44.82345,20.56883890167839,22.85932713903229,49.00141078156125
P10_C10_T2_S0,10,10,2,4.6,0,0.0,44.82345,0.0,30.967088954857047,30.9131962067689
P10_C10_T2_S1000,10,10,2,4.6,1000,4.0,44.82345,0.0,25.61424131556215,42.85526590308834
P10_C10_T2_S2000,10,10,2,4.6,2000,8.0,44.82345,0.23375782644759344,20.599887184101295,54.04216501830784
P10_C10_T2_S4000,10,10,2,4.6,4000,16.0,44.82345,5.8656620509563995,15.72609532182353,64.91547321363365
P10_C10_T2_S6000,10,10,2,4.6,6000,24.0,44.82345,15.400659153731016,14.55516077139935,67.52779901725692
P10_C10_T2_S8000,10,10,2,4.6,8000,32.0,44.82345,25.488604350807183,13.922705923907808,68.93879002194655
P10_C10_T5_S0,10,10,5,11.5,0,0.0,44.82345,6.067451172651114,16.42926282199974,63.3467240428844
P10_C10_T5_S1000,10,10,5,11.5,1000,4.0,44.82345,8.40869546840476,13.404247839434436,70.09545708901382
P10_C10_T5_S2000,10,10,5,11.5,2000,8.0,44.82345,11.37913441799598,11.03009079080405,75.39214230318272
P10_C10_T5_S4000,10,10,5,11.5,4000,16.0,44.82345,19.57953100725051,8.582601963008988,80.85242888932247
P10_C10_T5_S6000,10,10,5,11.5,6000,24.0,44.82345,29.661488049474322,7.9419933329890675,82.2816107796498
P10_C10_T5_S8000,10,10,5,11.5,8000,32.0,44.82345,40.07043712160694,7.619907462376269,83.00017633096901
P10_C10_T7_S0,10,10,7,16.099999999999998,0,0.0,44.82345,16.916864813594476,13.427470662168917,70.04364755017984
P10_C10_T7_S1000,10,10,7,16.099999999999998,1000,4.0,44.82345,19.911296975678106,11.047760825376526,75.35272089636892
P10_C10_T7_S2000,10,10,7,16.099999999999998,2000,8.0,44.82345,23.386640985518092,9.168344592590033,79.54565167877522
P10_C10_T7_S4000,10,10,7,16.099999999999998,4000,16.0,44.82345,32.06133495090456,7.172056369878687,83.9993209583852
P10_C10_T7_S6000,10,10,7,16.099999999999998,6000,24.0,44.82345,42.25050318392103,6.636404691909081,85.19434650409757
P10_C10_T7_S8000,10,10,7,16.099999999999998,8000,32.0,44.82345,52.71216091936914,6.36636409927379,85.79680033715881
P10_C10_T10_S0,10,10,10,23.0,0,0.0,44.82345,35.391922965544715,11.107331670332817,75.21981982570995
P10_C10_T10_S1000,10,10,10,23.0,1000,4.0,44.82345,38.84047136836286,9.185502110646269,79.50737368353782
P10_C10_T10_S2000,10,10,10,23.0,2000,8.0,44.82345,42.6470964099089,7.634696009715854,82.96718345036838
P10_C10_T10_S4000,10,10,10,23.0,4000,16.0,44.82345,51.711774821765644,6.010214291732961,86.59136168292945
P10_C10_T10_S6000,10,10,10,23.0,6000,24.0,44.82345,61.96732762857094,5.540267837631182,87.63980051149302
P10_C10_T10_S8000,10,10,10,23.0,8000,32.0,44.82345,72.46828391792528,5.309465832821148,88.15471403289763
P10_C10_T12_S0,10,10,12,27.599999999999998,0,0.0,44.82345,48.2565018912567,10.115370119880724,77.43286132620152
